=== kubectl get events -n devops-app --sort-by=.metadata.creationTimestamp ===
LAST SEEN   TYPE      REASON                         OBJECT                                      MESSAGE
26m         Normal    SuccessfulDelete               replicaset/backend-deployment-5d65ff6fc     Deleted pod: backend-deployment-5d65ff6fc-bwgvh
26m         Normal    Scheduled                      pod/backend-deployment-b7d78c97f-f46d5      Successfully assigned devops-app/backend-deployment-b7d78c97f-f46d5 to ip-10-0-2-240.ec2.internal
26m         Normal    SuccessfulCreate               replicaset/backend-deployment-b7d78c97f     Created pod: backend-deployment-b7d78c97f-f46d5
26m         Normal    Killing                        pod/backend-deployment-5d65ff6fc-bwgvh      Stopping container backend
26m         Normal    ScalingReplicaSet              deployment/backend-deployment               (combined from similar events): Scaled down replica set backend-deployment-5d65ff6fc from 1 to 0
26m         Warning   Unhealthy                      pod/frontend-deployment-6c979f6484-rjl82    Readiness probe failed: Get "http://10.0.2.14:8080/": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
26m         Normal    Created                        pod/frontend-deployment-7bf9c644b-pbwfw     Created container: frontend
26m         Normal    Started                        pod/backend-deployment-b7d78c97f-f46d5      Started container backend
26m         Normal    Created                        pod/backend-deployment-b7d78c97f-f46d5      Created container: backend
26m         Normal    Pulled                         pod/backend-deployment-b7d78c97f-f46d5      Container image "957905603240.dkr.ecr.us-east-1.amazonaws.com/devops-backend:71a42a0c" already present on machine
16m         Warning   Unhealthy                      pod/backend-deployment-b7d78c97f-ntrnd      Readiness probe failed: HTTP probe failed with statuscode: 503
6m29s       Warning   Unhealthy                      pod/backend-deployment-b7d78c97f-f46d5      Readiness probe failed: HTTP probe failed with statuscode: 503
14m         Normal    Killing                        pod/frontend-deployment-7bf9c644b-pbwfw     Stopping container frontend
14m         Normal    SuccessfulCreate               replicaset/frontend-deployment-589c7cc4c    Created pod: frontend-deployment-589c7cc4c-st6f8
14m         Normal    SuccessfulCreate               replicaset/worker-deployment-6b7d866f5c     Created pod: worker-deployment-6b7d866f5c-x2nrs
14m         Normal    SuccessfulDelete               replicaset/frontend-deployment-7bf9c644b    Deleted pod: frontend-deployment-7bf9c644b-pbwfw
